index,Definition
1936,Percentage of young women aged 15-24 who are HIV infected.. Data are shown with lower and upper bounds of the confidence intervals showing the range of the estimate with 95% probability. Starting around 2015 The DHS Program changed the HIV testing algorithm to add a confirmatory test for all EIA positive specimens. This change may affect trends in HIV prevalence estimates in some countries.
1937,Standard error of percentage of young women aged 15-24 who are HIV infected.
1938,Relative error of percentage of young women aged 15-24 who are HIV infected.
1939,Lower bound for the confidence interval of the HIV prevalence among young women calculated as the HIV prevalence minus 2 standard errors 
1940,Upper bound for the confidence interval of the HIV prevalence among young women calculated as the HIV prevalence plus 2 standard errors 
1941,Number of young women age 15-24 interviewed and tested
1942,Number of young women age 15-24 interviewed and tested (unweighted)
1943,Percentage of young men aged 15-24 who are HIV infected.. Data are shown with lower and upper bounds of the confidence intervals showing the range of the estimate with 95% probability. Starting around 2015 The DHS Program changed the HIV testing algorithm to add a confirmatory test for all EIA positive specimens. This change may affect trends in HIV prevalence estimates in some countries.
1944,Standard error of percentage of young men aged 15-24 who are HIV infected.
1945,Relative error of percentage of young men aged 15-24 who are HIV infected.
1946,Lower bound for the confidence interval of the HIV prevalence among young men calculated as the HIV prevalence minus 2 standard errors 
1947,Upper bound for the confidence interval of the HIV prevalence among young men calculated as the HIV prevalence plus 2 standard errors 
1948,Number of young men age 15-24 interviewed and tested
1949,Number of young men age 15-24 interviewed and tested (unweighted)
1950,Percentage of young people aged 15-24 who are HIV infected.. Data are shown with lower and upper bounds of the confidence intervals showing the range of the estimate with 95% probability. Starting around 2015 The DHS Program changed the HIV testing algorithm to add a confirmatory test for all EIA positive specimens. This change may affect trends in HIV prevalence estimates in some countries.
1951,Standard error of percentage of young people aged 15-24 who are HIV infected.
1952,Relative error of percentage of young people aged 15-24 who are HIV infected.
1953,Lower bound for the confidence interval of the HIV prevalence among young people aged 15-24 calculated as the HIV prevalence minus 2 standard errors 
1954,Upper bound for the confidence interval of the HIV prevalence among young people aged 15-24 calculated as the HIV prevalence plus 2 standard errors 
1955,Number of young persons age 15-24 interviewed and tested
1956,Number of young persons age 15-24 interviewed and tested (unweighted)
1957,Percentage of HIV positive or negative women age 15-49 who were previously tested for HIV
1958,Percentage of HIV positive or negative women age 15-49 who were previously tested for HIV and received test results
1959,Percentage of HIV positive or negative women age 15-49 who were previously tested for HIV but did not receive test results
1960,Percentage of HIV positive or negative women age 15-49 who were not previously tested for HIV
1961,Percentage of HIV positive or negative women age 15-49 with don't know or missing information on whether previously tested for HIV
